统计年度,地区名称,人口数,0-14岁人口数,15-64岁人口数,65岁及以上人口数,总抚养比,少年儿童抚养比,老年人口抚养比,老龄化率,养老床位,经济(亿元),养保支出(亿元),养老床位_5年均值增长率,老龄化率增长率,床位增长率,经济增长率,养保支出增长率,老龄化率_lag1,老年人口抚养比_lag1,养老床位_lag1,65岁及以上人口数_lag1,人口数_lag1,15-64岁人口数_lag1,经济(亿元)_lag1,养保支出(亿元)_lag1,老龄化率_3年均值,老龄化率_3年标准差,老年人口抚养比_3年均值,老年人口抚养比_3年标准差,养老床位_3年均值,养老床位_3年标准差,65岁及以上人口数_3年均值,65岁及以上人口数_3年标准差,经济(亿元)_3年均值,经济(亿元)_3年标准差,养保支出(亿元)_3年均值,养保支出(亿元)_3年标准差,床位覆盖率
2014,上海市,-0.7157680565486655,-0.9435024175009946,-0.6125186092629857,-0.8145080127493394,-2.203840137661296,-1.724550888398082,-0.9613962810076795,-0.6693486955435812,-0.2197509391025992,-0.16228570147724602,-0.6201911335362734,0.10043773089758065,-2.3369103275429985,0.011116625160831553,0.18446318888479385,0.03981227567132684,-0.17328022521688277,-0.5296747377074653,-0.25113611630850746,-0.7211639729245695,-0.7204104843508687,-0.6282256275789634,-0.17148616935897648,-0.6369235863049111,-0.36180072313463607,0.09691520600175478,-0.6995675393165547,-0.26773326433024147,-0.22080704152861336,-0.4527338995756287,-0.7556992575476986,-0.5192576359503145,-0.13063528366104712,-0.3439844759633667,-0.602745920621051,-0.5537886843376205,2.2752616023473995
2015,上海市,-0.7236793828392245,-0.9816136101331439,-0.6500477575799577,-0.6239057187657643,-1.6674104932428628,-1.8183702936919945,0.0023980232346667925,0.37542982977593936,-0.22921793642994595,-0.09676255405735468,-0.5243110377659499,-0.16523017607624882,4.5473569945053605,-0.2702977992822526,-0.3841894406017267,0.06275105927975605,-0.5194155908257114,-0.8231642121363066,-0.18409094275520238,-0.7820392522129067,-0.7166974389666276,-0.6214342408001873,-0.08146735280450057,-0.5523261849335765,-0.03835119613260918,2.339852969365456,-0.3931847424874368,1.730646552737214,-0.21276111608348505,-0.5290101087111405,-0.698847351396443,0.28158993016384837,-0.09208959664466983,-0.14736147229386717,-0.5533274128089818,-0.28388018768972595,1.1411429901974248
2016,上海市,-0.723912741979394,-0.9670830962141749,-0.6560301641551769,-0.6150890326325804,-1.5558895934821881,-1.7414691418117383,0.06592082965064022,0.42355239758993724,-0.19453026653521455,0.02478143195591087,-0.4525151529970299,-0.15488564450177167,-0.6502131810901552,-0.1131540868884208,0.6971660275724905,-0.09163304676287037,0.6115031178020202,0.22671683460101152,-0.19374424108458713,-0.5810664471451642,-0.72468978318888,-0.6590325738009517,-0.01098777444387586,-0.4466032538875339,0.2442463490264624,2.936368218150188,-0.11310958343096464,2.2413627992199214,-0.18149259065692003,-0.6517371356260747,-0.6490433762339852,0.49177975652997374,0.0051136899524575185,0.10616228555009688,-0.4633565987335442,-0.3035782823231159,1.2193278006781625
2017,上海市,-0.725954426099502,-0.9561350153850666,-0.6771281425548813,-0.5362056506288119,-1.177565528471293,-1.6461117134802206,0.5171517993641022,0.8550414092717326,-0.1188497586039056,0.14786456997872446,-0.3405130789756386,-0.08485121723507376,0.8232932779426212,0.02425918254855729,0.47150124714992064,0.01092397879625011,0.6635933081429951,0.29591353995415365,-0.1583739526745758,-0.5717700525081693,-0.7249255321021651,-0.6650260088946902,0.11975028109531925,-0.36743696484880795,0.801447267829483,0.37254138570320344,0.433279816462442,0.3195385961230158,-0.14681122007708966,-0.3834422055038772,-0.5512167340400138,-0.4142018578487615,0.11646002638656883,0.45113308515471967,-0.36039777644376175,-0.2323629889443771,1.1330071740451961
2018,上海市,-0.7197188754082228,-0.9577913718205707,-0.6773137183551339,-0.48600852575765097,-1.0335765186537134,-1.652263805630641,0.7493386090224854,1.0857520998359442,-0.04283642654780714,0.2729256338005938,-0.25238535865835526,-0.04894810930372373,-0.030217120843185147,0.008058821826909314,0.2920305148796592,-0.10768545228798418,1.1306578429246565,0.7874487572902615,-0.08120412833439644,-0.48859469179664605,-0.726988124603309,-0.6861628812482865,0.2521439162111591,-0.24393700947598118,1.0610869888388457,0.8949792288995582,0.7093076466308159,0.7550492189379606,-0.08274887530071252,-0.24822095635039976,-0.5027442048916071,-0.17809847291575254,0.2491809334091885,0.4732853941168459,-0.26029286218708225,-0.1681014667862769,1.1661679385321515
2019,上海市,-0.7251677766051181,-0.9518445438630716,-0.7012797135326824,-0.4102124620789472,-0.6496058258068347,-1.5692105615999643,1.2290453195431081,1.52227516707929,0.00291764549617624,0.3529716669625903,-0.17208408107551043,-0.09038545429400927,0.6191813333847411,-0.09861686432722538,-0.5918535791180396,-0.15211979341798876,1.3803902310972558,1.0403746458224334,-0.003694930224824674,-0.43566638342821534,-0.7206887171829022,-0.6863487991560379,0.38666509528413995,-0.1467622953343952,1.4626963503371857,0.9147916357395819,1.1391339745469626,0.8562697318357896,-0.014882828803238,-0.3481290697536585,-0.4307276154212014,-0.20118652398880726,0.367003755713671,0.21260452667205695,-0.15705682908516713,-0.3025814427440509,1.0253263118718186
2020,上海市,-0.6978188493506277,-0.9482551620489285,-0.6696578459307739,-0.3758914924249612,-0.7069332149116575,-1.6259482314572173,1.2187064351885084,1.527983631611591,-8.701674150704916e-05,0.3925038484134049,-0.08443779808731719,-0.08105738229642852,-0.8200136307166238,-0.24559539880919296,-1.2550008089252551,-0.15229237285112712,1.8529038706191663,1.5629290759030536,0.04295953601748507,-0.3557463194445415,-0.7261934192264268,-0.7103589754533955,0.47276612810762475,-0.05821746895941014,1.7086727729108178,0.2969602669918813,1.3983896738030528,0.2763092517955837,0.025937849817661836,-0.5983495510076804,-0.3743752522082589,-0.3008566277416807,0.45483114104437583,-0.3220006526464612,-0.06278697520190217,-0.30462709634667734,0.9068357236573428
2021,上海市,-0.6961254329115851,-0.9462850158537286,-0.6825873547291741,-0.29840019146016344,-0.39409591622858037,-1.5876668380512258,1.649610106848859,1.9166355892596318,0.10234885277704939,0.5825123463080827,-0.007901607308894824,-0.014859441049676117,0.35362317182558756,0.062149883277488736,0.896908936881087,-0.19252578886422103,1.8590829881839561,1.5516667155835078,0.03989574504380338,-0.31955797459387136,-0.6985644183864451,-0.6786788131922934,0.5152886806717479,0.03842638457823663,2.012380493305153,0.09649531091778489,1.7310801084048146,0.09278727392797168,0.07584038267322854,-0.3705198855713649,-0.30842865638317973,-0.28772786514935716,0.5659751554750805,0.45618794582719363,0.027215649950337425,-0.32009319787319673,0.9291147173067145
2022,上海市,-0.7010750775075554,-0.9509955194724726,-0.7022645588318779,-0.22636233165939662,-0.07647310045450781,-1.5630584694495437,2.1096028429645246,2.3233515923013615,0.09075547909688064,0.6293456749987141,0.07805223829934325,-0.1252770748949018,0.3255929947531358,-0.26814643044840847,-1.2369431885342481,-0.18517249527612148,2.279778627879021,2.0210589872066103,0.14434744962347443,-0.23785043688403615,-0.6968536600893692,-0.6916321574364185,0.7196701755156161,0.12281960879420999,2.3051930212500604,1.341685042261768,2.0564853510080003,1.3935921882787101,0.10603166926650032,-0.38583649943680953,-0.2438031146205152,-0.0414417646305948,0.6651955531744673,0.49032361527715695,0.11929917396938888,-0.3273240115266072,0.7052105298500884
2014,云南省,0.08195971157596793,0.2466524027883588,0.11851227982029976,-0.35547577338752084,-0.28398667342690176,0.3671604427448895,-0.9635867226082302,-0.9886226886490467,-0.7830465251943073,-0.617188377929095,-0.6757415945851284,-0.7901673217149714,0.6347774844539307,-0.46057961986539414,0.316428873603739,-0.18405480378404052,-1.1209168660004147,-1.0474569812120065,-0.7268532975543504,-0.39583090310874597,0.07972504599737218,0.09275305301300862,-0.6237814451931174,-0.6490108739022956,-1.0168545671391964,-0.33064108749451565,-0.9642628485982496,-0.5704426810432407,-0.7517618562109201,-0.6238970252280872,-0.3509800520355784,-0.17082616497304942,-0.602043224386333,-0.6504430703881687,-0.6394740810088521,-0.8178451977084009,-1.1435136120565519
